ID,url,nama toko,deskripsi,Penjual,Harga,Luas Tanah,Luas Bangunan,alamat,kota
1,https://www.google.com/maps/place/Fakultas+Kopi+Jakarta/data=!4m7!3m6!1s0x2e69f404f476b09d:0xad1e2ce92f97ab00!8m2!3d-6.2118378!4d106.828466!16s%2Fg%2F11df3mdnv0!19sChIJnbB29AT0aS4RAKuXL-ksHq0?authuser=0&hl=en&rclk=1,Fakultas Kopi Jakarta,asdas,budi,9121796,48,94,"Jl. Karet Karya VII No.7, RW.7",Jakarta Selatan
2,https://www.google.com/maps/place/Anomali+Coffee+-+Senopati/data=!4m7!3m6!1s0x2e69f15b0756b151:0x8712710a5ee786cf!8m2!3d-6.2305437!4d106.8080776!16s%2Fg%2F1tf8j37j!19sChIJUbFWB1vxaS4Rz4bnXgpxEoc?authuser=0&hl=en&rclk=1,Anomali Coffee - Senopati,asdas,budi,7883698,52,199,"Jl. Senopati No.19, RW.3",Jakarta Selatan
3,https://www.google.com/maps/place/Toko+Kopi+Tuku+-+Cipete/data=!4m7!3m6!1s0x2e69f1929f4500cf:0x8872c874bb0035ef!8m2!3d-6.2775754!4d106.8014966!16s%2Fg%2F11bwgfklkq!19sChIJzwBFn5LxaS4R7zUAu3TIcog?authuser=0&hl=en&rclk=1,Toko Kopi Tuku - Cipete,asdas,budi,2695777,51,37,"Jl. Cipete Raya B No.7, RT.6/RW.3",Jakarta Selatan
4,https://www.google.com/maps/place/Sallo+Coffee/data=!4m7!3m6!1s0x2e69f39a5568be19:0x323a8e9c42509a0e!8m2!3d-6.2391453!4d106.8531853!16s%2Fg%2F11cmtbtmz9!19sChIJGb5oVZrzaS4RDppQQpyOOjI?authuser=0&hl=en&rclk=1,Sallo Coffee,asdas,budi,3922057,51,136,"1, Jl. Tebet Timur Raya No.43, RT.5/RW.10",Jakarta Selatan
5,https://www.google.com/maps/place/Kopikina+Coffee/data=!4m7!3m6!1s0x2e69f3f6f5069503:0x5ddceeb9e9a735b3!8m2!3d-6.2393032!4d106.8562326!16s%2Fg%2F11c3k6fp7p!19sChIJA5UG9fbzaS4RszWn6bnu3F0?authuser=0&hl=en&rclk=1,Kopikina Coffee,asdas,budi,1307453,52,45,"Jl. Tebet Timur Dalam Raya No.43, RT.1/RW.8",Jakarta Selatan
6,https://www.google.com/maps/place/Pison+Jakarta/data=!4m7!3m6!1s0x2e69f15c026b141f:0xa7f64e78df23723a!8m2!3d-6.2336553!4d106.8118554!16s%2Fg%2F11dztjmf6w!19sChIJHxRrAlzxaS4ROnIj33hO9qc?authuser=0&hl=en&rclk=1,Pison Jakarta,asdas,budi,7123368,39,42,Jl. Kertanegara Jl. Senopati No.70,Jakarta Selatan
7,https://www.google.com/maps/place/Crematology+x+Senopati/data=!4m7!3m6!1s0x2e69f15ef6689731:0xe4f7f3346ab46e5f!8m2!3d-6.2353933!4d106.8138413!16s%2Fg%2F1yh9sqb9r!19sChIJMZdo9l7xaS4RX260ajTz9-Q?authuser=0&hl=en&rclk=1,Crematology x Senopati,asdas,budi,5808665,16,29,"Jl. Suryo No.25, RT.3/RW.6",Jakarta Selatan
8,https://www.google.com/maps/place/First+Crack+Coffee/data=!4m7!3m6!1s0x2e69f1076e78f19f:0xf97da87c79406d61!8m2!3d-6.2371902!4d106.7900669!16s%2Fg%2F11h1kds1qg!19sChIJn_F4bgfxaS4RYW1AeXyoffk?authuser=0&hl=en&rclk=1,First Crack Coffee,asdas,budi,9012596,24,33,"Jl. Bumi No.10, RT.2/RW.3",Jakarta Selatan
9,https://www.google.com/maps/place/ST+ALi+-+Jakarta/data=!4m7!3m6!1s0x2e69f3eef6a3202d:0x9b5282f1e98b950a!8m2!3d-6.2159999!4d106.8300667!16s%2Fg%2F11cllq390c!19sChIJLSCj9u7zaS4RCpWL6fGCUps?authuser=0&hl=en&rclk=1,ST ALi - Jakarta,asdas,budi,2199007,20,124,"Setiabudi Building 2 Lt. Dasar No.103A Jalan Haji R. Rasuna Said No.kav 62 RT.6/RW.7 Kuningan, RT.6/RW.7",Jakarta Selatan
10,https://www.google.com/maps/place/Kopi+Nalar/data=!4m7!3m6!1s0x2e69f166697d2ac9:0x873a8f2028cacb4e!8m2!3d-6.242093!4d106.8079145!16s%2Fg%2F11c7t0wb_3!19sChIJySp9aWbxaS4RTsvKKCCPOoc?authuser=0&hl=en&rclk=1,Kopi Nalar,asdas,budi,6684717,73,49,"14, Jl. Prof. Joko Sutono SH No.7, RT.14/RW.6",Jakarta Selatan
11,https://www.google.com/maps/place/Toko+Kopi+TUKU+%28Go-Food+Only%29/data=!4m7!3m6!1s0x2e69f184fcba615f:0xfb93a7ca2fda8078!8m2!3d-6.2661937!4d106.8083377!16s%2Fg%2F11fz_bd2ll!19sChIJX2G6_ITxaS4ReIDaL8qnk_s?authuser=0&hl=en&rclk=1,Toko Kopi TUKU (Go-Food Only),asdas,budi,9904612,10,197,"Jl. Abdul Majid Raya No.26, RT.7/RW.2",Jakarta Selatan
12,https://www.google.com/maps/place/Anomali+Coffee+Setiabudi/data=!4m7!3m6!1s0x2e69f40870d181a1:0xcb330100e8950555!8m2!3d-6.2157341!4d106.8302624!16s%2Fg%2F1thzy9hy!19sChIJoYHRcAj0aS4RVQWV6AABM8s?authuser=0&hl=en&rclk=1,Anomali Coffee Setiabudi,asdas,budi,8624907,88,20,"Setiabudi One, Jl. HR Rasuna Said No.62, RT.18/RW.2",Jakarta Selatan
13,https://www.google.com/maps/place/Toko+Kopi+Seduh+-+Jagakarsa+%28Forest+View%29/data=!4m7!3m6!1s0x2e69ef1abe7cb743:0x2d83d0d8a5b79472!8m2!3d-6.3218351!4d106.8140452!16s%2Fg%2F11hzwh5hyj!19sChIJQ7d8vhrvaS4RcpS3pdjQgy0?authuser=0&hl=en&rclk=1,Toko Kopi Seduh - Jagakarsa (Forest View),asdas,budi,4420463,72,129,"4, Jl. Durian No.15",Jakarta Selatan
14,https://www.google.com/maps/place/Titik+Temu+Cafe+-+Cipete/data=!4m7!3m6!1s0x2e69f1af3dd0f03d:0x99da24758db523b1!8m2!3d-6.2780065!4d106.8077161!16s%2Fg%2F11fd456jb5!19sChIJPfDQPa_xaS4RsSO1jXUk2pk?authuser=0&hl=en&rclk=1,Titik Temu Cafe - Cipete,asdas,budi,8232726,16,138,Jl. Cipete Raya No.37,Jakarta Selatan
15,https://www.google.com/maps/place/Relung+Kopi/data=!4m7!3m6!1s0x2e69f374f56068eb:0x7e4dcf9b79d9deae!8m2!3d-6.2385848!4d106.8504262!16s%2Fg%2F11h_4nx3c4!19sChIJ62hg9XTzaS4Rrt7ZeZvPTX4?authuser=0&hl=en&rclk=1,Relung Kopi,asdas,budi,1760159,87,45,"7, Jl. Tebet Barat IX No.17, RT.7/RW.4",Jakarta Selatan
16,https://www.google.com/maps/place/Jakarta+Coffee+House+%28JCH%29/data=!4m7!3m6!1s0x2e69f19364da5ecd:0x70299c9131e0f78a!8m2!3d-6.2780689!4d106.8044949!16s%2Fg%2F11h0x69b3!19sChIJzV7aZJPxaS4RivfgMZGcKXA?authuser=0&hl=en&rclk=1,Jakarta Coffee House (JCH),asdas,budi,5829043,22,179,"Jl. Cipete Raya No.2, RT.8/RW.4",Jakarta Selatan
17,https://www.google.com/maps/place/Toko+Kopi+TUKU+-+Pasar+Santa/data=!4m7!3m6!1s0x2e69f160d28582a3:0x4c98e035738b2cdd!8m2!3d-6.23973!4d106.8119815!16s%2Fg%2F11d_vbqj15!19sChIJo4KF0mDxaS4R3SyLczXgmEw?authuser=0&hl=en&rclk=1,Toko Kopi TUKU - Pasar Santa,asdas,budi,9227290,43,157,"Ps. Santa, Lantai Dasar, Kiosk 176-177, Jl. Cipaku I No.2, RT.5/RW.4",Jakarta Selatan
18,https://www.google.com/maps/place/KINA/data=!4m7!3m6!1s0x2e69f1f752195acd:0x4727d5401ad0fbc4!8m2!3d-6.2366566!4d106.815971!16s%2Fg%2F11kf8j3r89!19sChIJzVoZUvfxaS4RxPvQGkDVJ0c?authuser=0&hl=en&rclk=1,KINA,asdas,budi,3350495,34,106,Jl. Birah II No.82,Jakarta Selatan
19,https://www.google.com/maps/place/Wisangkopi/data=!4m7!3m6!1s0x2e69f184e590a879:0xd4a45ad15992c2cc!8m2!3d-6.2489081!4d106.798322!16s%2Fg%2F11btytgz9r!19sChIJeaiQ5YTxaS4RzMKSWdFapNQ?authuser=0&hl=en&rclk=1,Wisangkopi,asdas,budi,1705958,74,53,"Jl. Panglima Polim V No.9, RW.6",Jakarta Selatan
